Latitude,Longitude,Offence,Offence weight,geometry
40.813343,-73.946995,Criminal harassment,45,POINT (-73.946995 40.813343)
40.665789,-73.92381,Criminal harassment,45,POINT (-73.92381 40.665789)
40.650466,-73.869986,"Theft under $5,000",37,POINT (-73.869986 40.650466)
40.871185,-73.900322,Criminal harassment,45,POINT (-73.900322 40.871185)
40.712306,-73.876486,Disturb the peace,9,POINT (-73.876486 40.712306)
40.6648,-73.92221,"Theft under $5,000",37,POINT (-73.92221 40.6648)
40.754133,-73.831687,Assault - level 3,405,POINT (-73.831687 40.754133)
40.74581821456631,-73.94564947600665,Mischief,30,POINT (-73.94564947600665 40.74581821456631)
40.76525275237906,-73.99508680987398,Assault - level 3,405,POINT (-73.99508680987398 40.76525275237906)
40.572769,-73.996503,Breaking and entering,187,POINT (-73.996503 40.572769)
40.82276763526437,-73.91149696443561,"Theft over $5,000",139,POINT (-73.91149696443561 40.82276763526437)
40.703348,-73.81483,Disturb the peace,9,POINT (-73.81483 40.703348)
40.634659,-74.095419,Criminal harassment,45,POINT (-74.095419 40.634659)
40.589975,-73.811003,Theft of a motor vehicle,84,POINT (-73.811003 40.589975)
40.877561,-73.872933,"Theft under $5,000",37,POINT (-73.872933 40.877561)
40.748004,-73.894537,Assault - level 3,405,POINT (-73.894537 40.748004)
40.669185,-73.905249,Assault - level 3,405,POINT (-73.905249 40.669185)
40.615286,-74.143445,Theft of a motor vehicle,84,POINT (-74.143445 40.615286)
40.813081,-73.937381,Criminal harassment,45,POINT (-73.937381 40.813081)
40.745727,-73.910801,"Theft under $5,000",37,POINT (-73.910801 40.745727)
40.826699,-73.865165,"Theft over $5,000",139,POINT (-73.865165 40.826699)
40.7565675846374,-73.8759315341335,Weapons possession,88,POINT (-73.8759315341335 40.7565675846374)
40.757656,-73.985776,"Theft under $5,000",37,POINT (-73.985776 40.757656)
40.723628,-73.998298,"Theft under $5,000",37,POINT (-73.998298 40.723628)
40.821418,-73.935515,Mischief,30,POINT (-73.935515 40.821418)
40.82098580550746,-73.8916133211247,Assault - level 3,405,POINT (-73.8916133211247 40.82098580550746)
40.68725,-73.906112,Criminal harassment,45,POINT (-73.906112 40.68725)
40.634315,-73.92368,Criminal harassment,45,POINT (-73.92368 40.634315)
40.605546,-73.983543,Mischief,30,POINT (-73.983543 40.605546)
40.731193,-73.828737,Theft of a motor vehicle,84,POINT (-73.828737 40.731193)
40.594075,-73.938248,Assault - level 3,405,POINT (-73.938248 40.594075)
40.883228,-73.862998,Mischief,30,POINT (-73.862998 40.883228)
40.631975,-73.982535,Breaking and entering,187,POINT (-73.982535 40.631975)
40.748914,-73.89223,"Theft under $5,000",37,POINT (-73.89223 40.748914)
40.630309515857576,-74.16640096081188,Disturb the peace,9,POINT (-74.16640096081188 40.630309515857576)
40.8024947224434,-73.9408967554525,"Theft under $5,000",37,POINT (-73.9408967554525 40.8024947224434)
40.763541,-73.780019,Theft of a motor vehicle,84,POINT (-73.780019 40.763541)
40.836812,-73.921299,Weapons possession,88,POINT (-73.921299 40.836812)
40.68072,-73.979174,"Theft under $5,000",37,POINT (-73.979174 40.68072)
40.86538320713337,-73.89346798066678,Disturb the peace,9,POINT (-73.89346798066678 40.86538320713337)
40.82773228956171,-73.84374312270849,Assault - level 3,405,POINT (-73.84374312270849 40.82773228956171)
40.855396,-73.913442,Breaking and entering,187,POINT (-73.913442 40.855396)
40.608876,-74.083155,Criminal harassment,45,POINT (-74.083155 40.608876)
40.81698,-73.953637,Criminal harassment,45,POINT (-73.953637 40.81698)
40.732622,-74.000289,"Theft under $5,000",37,POINT (-74.000289 40.732622)
40.867919,-73.868768,Assault - level 2,77,POINT (-73.868768 40.867919)
40.665503,-73.7849,Criminal harassment,45,POINT (-73.7849 40.665503)
40.885489,-73.900443,"Theft under $5,000",37,POINT (-73.900443 40.885489)
40.797292,-73.948926,Disturb the peace,9,POINT (-73.948926 40.797292)
40.73610342601499,-73.90566181203823,Cannabis possession,7,POINT (-73.90566181203823 40.73610342601499)
40.874076,-73.880312,Breaking and entering,187,POINT (-73.880312 40.874076)
40.67543675131197,-73.97795827326182,Disturb the peace,9,POINT (-73.97795827326182 40.67543675131197)
40.65473851257818,-73.9069229436871,Theft of a motor vehicle,84,POINT (-73.9069229436871 40.65473851257818)
40.84001,-73.857323,Assault - level 3,405,POINT (-73.857323 40.84001)
40.611993,-73.955983,Assault - level 3,405,POINT (-73.955983 40.611993)
40.828648,-73.92323,Mischief,30,POINT (-73.92323 40.828648)
40.838415,-73.866529,"Theft under $5,000",37,POINT (-73.866529 40.838415)
40.718235,-73.958367,"Theft under $5,000",37,POINT (-73.958367 40.718235)
40.689041,-73.958614,Assault - level 3,405,POINT (-73.958614 40.689041)
40.60497859593714,-73.75441852707769,Assault - level 3,405,POINT (-73.75441852707769 40.60497859593714)
40.826517,-73.899531,"Theft under $5,000",37,POINT (-73.899531 40.826517)
40.698401,-73.92225,Disturb the peace,9,POINT (-73.92225 40.698401)
40.719365,-73.811011,Assault - level 3,405,POINT (-73.811011 40.719365)
40.734637,-73.990328,"Theft under $5,000",37,POINT (-73.990328 40.734637)
40.65173309769204,-73.93038095615559,Theft of a motor vehicle,84,POINT (-73.93038095615559 40.65173309769204)
40.755704,-73.987198,Robbery,583,POINT (-73.987198 40.755704)
40.58313189099152,-73.96539184336872,Cannabis possession,7,POINT (-73.96539184336872 40.58313189099152)
40.651491,-73.93569,Criminal harassment,45,POINT (-73.93569 40.651491)
40.705778,-74.00894,Disturb the peace,9,POINT (-74.00894 40.705778)
40.797292,-73.948926,"Theft under $5,000",37,POINT (-73.948926 40.797292)
40.690643,-73.819551,Cannabis possession,7,POINT (-73.819551 40.690643)
40.83639292877015,-73.91586966351923,Counterfeiting currency,69,POINT (-73.91586966351923 40.83639292877015)
40.748688,-73.884123,"Theft over $5,000",139,POINT (-73.884123 40.748688)
40.651782,-73.883805,Mischief,30,POINT (-73.883805 40.651782)
40.661495,-73.907661,Disturb the peace,9,POINT (-73.907661 40.661495)
40.7426636084461,-73.9980491084798,Sexual assault - level 2,678,POINT (-73.9980491084798 40.7426636084461)
40.734461,-73.99895,"Theft under $5,000",37,POINT (-73.99895 40.734461)
40.70302633725937,-73.8084380592426,Mischief,30,POINT (-73.8084380592426 40.70302633725937)
40.644823,-73.958,Theft of a motor vehicle,84,POINT (-73.958 40.644823)
40.603311,-73.998396,Assault - level 3,405,POINT (-73.998396 40.603311)
40.637437,-73.94814,Criminal harassment,45,POINT (-73.94814 40.637437)
40.86135236106006,-73.89773676351642,Theft of a motor vehicle,84,POINT (-73.89773676351642 40.86135236106006)
40.849664,-73.904326,Criminal harassment,45,POINT (-73.904326 40.849664)
40.85779457020365,-73.88262787193887,Mischief,30,POINT (-73.88262787193887 40.85779457020365)
40.625805,-74.075137,Cannabis possession,7,POINT (-74.075137 40.625805)
40.754464,-73.878064,Criminal harassment,45,POINT (-73.878064 40.754464)
40.889466,-73.857857,Assault - level 3,405,POINT (-73.857857 40.889466)
40.63511,-74.027335,Mischief,30,POINT (-74.027335 40.63511)
40.716337,-74.001251,Disturb the peace,9,POINT (-74.001251 40.716337)
40.729971,-73.992138,Criminal harassment,45,POINT (-73.992138 40.729971)
40.596387,-73.936778,Assault - level 3,405,POINT (-73.936778 40.596387)
40.739664,-73.878203,"Theft under $5,000",37,POINT (-73.878203 40.739664)
40.733512,-74.003532,Assault - level 3,405,POINT (-74.003532 40.733512)
40.63417,-74.023701,"Theft under $5,000",37,POINT (-74.023701 40.63417)
40.65406989766691,-73.96176188663709,Cannabis possession,7,POINT (-73.96176188663709 40.65406989766691)
40.697626,-73.934604,"Theft under $5,000",37,POINT (-73.934604 40.697626)
40.665524,-73.894241,Assault - level 3,405,POINT (-73.894241 40.665524)
40.747721,-73.986837,Assault - level 3,405,POINT (-73.986837 40.747721)
40.720408,-73.987246,Mischief,30,POINT (-73.987246 40.720408)
40.768595,-73.959984,"Theft under $5,000",37,POINT (-73.959984 40.768595)
