listing_id,listing_url,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_365,instant_bookable,geometry,bathrooms_number,is_bathroom_shared,log_price,days_since_host,host_response_time_a_few_days_or_more,host_response_time_within_a_day,host_response_time_within_a_few_hours,host_response_time_within_an_hour,host_response_rate_0_50,host_response_rate_100,host_response_rate_51_90,host_response_rate_91_99,host_acceptance_rate_0_50,host_acceptance_rate_100,host_acceptance_rate_51_90,host_acceptance_rate_91_99,log_host_listings_count,root_calculated_host_listings_count_entire_homes,root_calculated_host_listings_count_private_rooms,root_calculated_host_listings_count_shared_rooms,host_verification_email,host_verification_phone,host_verification_work_email,host_verification_count,property_type_Apartment,property_type_House,room_type_Entire_home_apt,room_type_Hotel_room,room_type_Private_room,number_of_amenities,root_number_of_reviews,root_number_of_reviews_ltm,root_number_of_reviews_l30d,time_since_first_review_0_6_months,time_since_first_review_1_2_years,time_since_first_review_2_3_years,time_since_first_review_3_years_and_more,time_since_first_review_6_12_months,time_since_last_review_0_2_weeks,time_since_last_review_1_year_and_more,time_since_last_review_1_2_months,time_since_last_review_2_4_weeks,time_since_last_review_2_6_months,time_since_last_review_6_12_months,review_scores_rating_0_50,review_scores_rating_51_80,review_scores_rating_81_90,review_scores_rating_91_95,review_scores_rating_96_100,review_scores_accuracy_0_50,review_scores_accuracy_51_80,review_scores_accuracy_81_90,review_scores_accuracy_91_95,review_scores_accuracy_96_100,review_scores_cleanliness_0_50,review_scores_cleanliness_51_80,review_scores_cleanliness_81_90,review_scores_cleanliness_91_95,review_scores_cleanliness_96_100,review_scores_checkin_0_50,review_scores_checkin_51_80,review_scores_checkin_81_90,review_scores_checkin_91_95,review_scores_checkin_96_100,review_scores_communication_0_50,review_scores_communication_51_80,review_scores_communication_81_90,review_scores_communication_91_95,review_scores_communication_96_100,review_scores_location_0_50,review_scores_location_51_80,review_scores_location_81_90,review_scores_location_91_95,review_scores_location_96_100,review_scores_value_0_50,review_scores_value_51_80,review_scores_value_81_90,review_scores_value_91_95,review_scores_value_96_100
631040288153314520,https://www.airbnb.com/rooms/631040288153314520,False,True,True,1,1.0,1.0,30,40,28,363,False,POINT (-73.9354765 40.7683785),1.0,False,5.247024072160486,3395,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,True,True,False,2,True,False,True,False,False,19,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
999324046363074194,https://www.airbnb.com/rooms/999324046363074194,False,False,True,2,2.0,4.0,30,365,29,269,False,POINT (-73.93013 40.61851),1.0,True,5.375278407684165,1321,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,False,True,False,1,False,False,False,False,False,13,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27057790,https://www.airbnb.com/rooms/27057790,False,True,True,2,1.0,1.0,30,1125,4,32,False,POINT (-73.90301 40.74304),2.0,True,3.80666248977032,3687,False,False,False,True,False,False,False,True,False,False,True,False,5.697093486505405,2.449489742783178,15.748015748023622,0.0,True,True,False,2,False,True,False,False,True,5,2.23606797749979,0.0,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
1021209119661167704,https://www.airbnb.com/rooms/1021209119661167704,True,True,True,1,1.0,1.0,30,365,30,90,False,POINT (-73.98579769999999 40.7618947),1.0,False,4.59511985013459,2301,False,False,False,True,False,True,False,False,True,False,False,False,1.0986122886681098,0.0,1.7320508075688772,0.0,True,True,False,2,True,False,False,False,True,20,1.0,1.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1018016012805654723,https://www.airbnb.com/rooms/1018016012805654723,False,True,True,2,1.0,1.0,1,365,0,175,False,POINT (-73.95359 40.77575),1.0,False,4.700480365792417,1034,False,False,False,True,False,False,False,True,False,False,False,True,2.19722457733622,0.0,3.0,0.0,False,True,False,1,True,False,False,False,True,0,2.23606797749979,2.23606797749979,1.4142135623730951,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
50557109,https://www.airbnb.com/rooms/50557109,True,True,True,2,1.0,1.0,30,1125,0,159,False,POINT (-73.99186 40.6639),1.0,True,4.174387269895637,3425,False,False,True,False,False,True,False,False,True,False,False,False,4.330733340286331,0.0,7.483314773547883,0.0,True,True,False,2,True,False,False,False,True,34,2.6457513110645907,2.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
842978126440326634,https://www.airbnb.com/rooms/842978126440326634,True,True,True,4,0.0,2.0,30,365,29,364,False,POINT (-73.90007794424116 40.85419160863757),1.0,False,5.135798437050262,781,False,False,False,False,False,False,False,False,False,True,False,False,0.6931471805599453,1.4142135623730951,0.0,0.0,True,True,False,2,False,False,True,False,False,17,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
889921997312374031,https://www.airbnb.com/rooms/889921997312374031,True,True,True,2,1.0,1.0,30,365,13,348,True,POINT (-73.80776 40.76245),1.0,True,4.127134385045092,1827,False,False,False,True,False,True,False,False,False,False,False,True,2.70805020110221,0.0,3.872983346207417,0.0,True,True,False,2,False,True,False,False,True,25,4.47213595499958,4.47213595499958,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
924510090567827314,https://www.airbnb.com/rooms/924510090567827314,False,True,True,4,2.0,2.0,30,365,4,283,False,POINT (-73.9545481 40.772425),1.0,False,5.541263545158426,2460,False,False,False,True,False,True,False,False,False,False,True,False,5.488937726156687,14.594519519326424,0.0,0.0,True,True,False,2,True,False,True,False,False,29,1.7320508075688772,1.7320508075688772,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
883592264990430069,https://www.airbnb.com/rooms/883592264990430069,False,True,True,5,2.0,2.0,30,1125,23,83,False,POINT (-73.93961714575298 40.81657054670449),1.0,False,5.700443573390687,3065,False,False,True,False,False,True,False,False,False,True,False,False,0.0,1.0,0.0,0.0,True,True,False,2,True,False,True,False,False,42,1.0,1.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
984847401362881910,https://www.airbnb.com/rooms/984847401362881910,True,True,True,3,0.0,1.0,30,365,2,276,False,POINT (-73.95551 40.76899),1.0,False,5.068904202220232,3862,False,False,False,True,False,False,False,True,False,False,True,False,3.871201010907891,6.6332495807108,0.0,0.0,True,True,False,2,True,False,True,False,False,53,1.0,1.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1033569522990106101,https://www.airbnb.com/rooms/1033569522990106101,True,True,True,5,2.0,2.0,1,365,14,82,True,POINT (-73.99184 40.76359),2.0,False,6.9363427358340495,3686,False,False,False,True,False,False,False,True,False,False,False,True,2.302585092994046,3.1622776601683795,0.0,0.0,True,True,False,2,True,False,True,False,False,50,3.605551275463989,3.605551275463989,1.4142135623730951,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1143324944468626420,https://www.airbnb.com/rooms/1143324944468626420,False,True,True,2,1.0,1.0,30,365,29,268,False,POINT (-73.9890863 40.748454),1.0,False,5.003946305945459,717,False,True,False,False,False,True,False,False,True,False,False,False,3.6375861597263857,3.0,3.741657386773941,0.0,False,True,False,1,True,False,True,False,False,12,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1076090494277276878,https://www.airbnb.com/rooms/1076090494277276878,False,True,True,2,2.0,2.0,30,365,29,269,False,POINT (-73.94543589375077 40.67106995992323),1.0,False,4.934473933130692,3936,False,True,False,False,False,False,True,False,True,False,False,False,1.0986122886681098,1.7320508075688772,0.0,0.0,True,True,False,2,True,False,True,False,False,9,1.0,1.0,0.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
903456647456152357,https://www.airbnb.com/rooms/903456647456152357,False,True,True,2,2.0,2.0,30,1125,29,364,False,POINT (-73.76894869362746 40.59602624898401),1.0,False,5.298317366548036,3714,False,False,True,False,False,True,False,False,False,True,False,False,0.0,1.0,0.0,0.0,True,True,False,2,False,True,True,False,False,65,2.449489742783178,1.4142135623730951,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
670375952726446648,https://www.airbnb.com/rooms/670375952726446648,False,True,False,2,1.0,1.0,30,365,0,307,False,POINT (-74.11395 40.63497),1.0,False,4.31748811353631,784,False,False,True,False,False,True,False,False,False,False,False,False,1.0986122886681098,1.0,1.4142135623730951,0.0,True,True,False,2,True,False,False,False,True,30,2.0,0.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
20482151,https://www.airbnb.com/rooms/20482151,False,True,True,2,0.0,1.0,30,1124,0,257,False,POINT (-73.98898 40.76455),1.0,False,5.3471075307174685,3771,False,False,True,False,False,True,False,False,False,True,False,False,0.0,1.0,0.0,0.0,True,True,True,3,True,False,True,False,False,47,15.937377450509228,4.795831523312719,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
916935346150480085,https://www.airbnb.com/rooms/916935346150480085,True,True,True,2,1.0,1.0,30,150,0,148,False,POINT (-74.00100074708462 40.73895483340238),1.0,False,5.298317366548036,3223,False,False,True,False,False,True,False,False,False,False,True,False,0.6931471805599453,1.0,0.0,0.0,True,True,False,2,True,False,True,False,False,50,2.0,2.0,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
53263629,https://www.airbnb.com/rooms/53263629,False,True,True,2,1.0,1.0,30,30,30,365,False,POINT (-73.87642 40.76401),2.0,True,4.143134726391533,1632,False,False,False,True,False,False,True,False,False,False,True,False,1.6094379124341005,1.0,2.0,0.0,True,True,False,2,True,False,False,False,True,32,10.44030650891055,1.4142135623730951,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
962485408551748716,https://www.airbnb.com/rooms/962485408551748716,False,True,True,6,2.0,3.0,30,365,27,265,True,POINT (-73.9908043244347 40.766589230530606),3.0,False,7.467371066917559,603,False,True,False,False,False,False,True,False,False,True,False,False,1.791759469228055,2.23606797749979,0.0,0.0,True,True,False,2,True,False,True,False,False,0,1.4142135623730951,1.4142135623730951,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
26641779,https://www.airbnb.com/rooms/26641779,True,True,True,2,2.0,2.0,30,35,28,88,True,POINT (-73.95842 40.68834),1.0,False,5.857933154483459,2346,False,False,False,True,False,True,False,False,False,True,False,False,0.6931471805599453,0.0,1.4142135623730951,0.0,False,True,False,1,True,False,False,False,True,30,11.135528725660045,1.7320508075688772,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
478053,https://www.airbnb.com/rooms/478053,False,True,True,2,1.0,1.0,30,1125,30,89,False,POINT (-73.99518 40.71101),1.0,True,4.8283137373023015,4346,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,1.0,0.0,True,True,False,2,True,False,False,False,True,23,8.660254037844387,3.1622776601683795,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1104430333575539878,https://www.airbnb.com/rooms/1104430333575539878,False,True,True,2,0.0,1.0,2,365,2,74,True,POINT (-73.99333129972474 40.75750402918776),1.0,False,5.25227342804663,3294,False,False,False,True,False,False,True,False,False,False,False,True,0.6931471805599453,1.0,0.0,0.0,True,True,True,3,True,False,True,False,False,33,4.47213595499958,4.47213595499958,1.4142135623730951,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1117721798584451198,https://www.airbnb.com/rooms/1117721798584451198,False,True,True,5,2.0,3.0,30,180,9,320,True,POINT (-73.91715893474527 40.81154982663996),1.0,False,4.59511985013459,1047,False,False,True,False,False,False,True,False,False,False,False,True,0.6931471805599453,1.0,1.0,0.0,True,True,False,2,True,False,True,False,False,45,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6291371,https://www.airbnb.com/rooms/6291371,True,True,False,1,1.0,1.0,30,1125,0,255,False,POINT (-74.02896881103516 40.62562942504883),1.0,True,4.31748811353631,3424,False,False,True,False,False,True,False,False,False,False,False,True,1.3862943611198906,0.0,2.0,0.0,True,True,False,2,False,True,False,False,True,45,8.12403840463596,2.23606797749979,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
736143192475629940,https://www.airbnb.com/rooms/736143192475629940,False,True,True,2,1.0,1.0,30,365,19,354,False,POINT (-73.96259870000002 40.7616771),1.0,False,3.784189633918261,3107,False,False,True,False,False,False,False,True,False,False,True,False,5.135798437050262,11.40175425099138,0.0,0.0,True,True,False,2,True,False,True,False,False,19,2.449489742783178,1.7320508075688772,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
585371816722033324,https://www.airbnb.com/rooms/585371816722033324,False,True,True,2,1.0,1.0,1,28,21,344,True,POINT (-73.983765 40.759125),1.0,False,5.365976015021851,724,False,False,False,True,False,False,False,True,False,False,False,True,1.6094379124341005,0.0,2.0,0.0,True,True,False,2,False,False,False,False,True,24,5.477225575051661,5.291502622129181,3.3166247903554,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
52235795,https://www.airbnb.com/rooms/52235795,False,True,True,4,2.0,2.0,30,90,29,32,False,POINT (-73.92335 40.6879),1.5,False,5.41610040220442,3236,False,False,False,False,False,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,True,True,False,2,False,True,True,False,False,70,4.358898943540674,0.0,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
564229280225504107,https://www.airbnb.com/rooms/564229280225504107,False,True,True,2,1.0,1.0,30,730,6,123,False,POINT (-73.94769 40.80749),1.0,False,5.10594547390058,930,False,False,False,True,False,False,True,False,True,False,False,False,0.0,1.0,0.0,0.0,True,True,False,2,True,False,True,False,False,65,4.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
754705050508576196,https://www.airbnb.com/rooms/754705050508576196,True,True,False,2,2.0,2.0,30,31,29,364,False,POINT (-73.87816 40.75966),1.0,True,4.8283137373023015,2294,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1.0,0.0,True,True,False,2,True,False,False,False,True,57,4.358898943540674,2.449489742783178,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
